x,FL,FR,RL,RR
36.5,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.5,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.54,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.54,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.54,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.54,2934.24169921875,2934.242431640625,2912.1728515625,2912.1728515625
36.58,2854.108154296875,2869.312744140625,2851.087890625,2851.087890625
36.58,2854.108154296875,2869.312744140625,2851.087890625,2851.087890625
36.58,2854.108154296875,2869.312744140625,2851.087890625,2851.087890625
36.58,2854.108154296875,2869.312744140625,2851.087890625,2851.087890625
36.619999999,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.64,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.64,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.64,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.64,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.64,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.68,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.68,2764.383544921875,2749.17822265625,2789.4716796875,2789.4716796875
36.68,2857.53173828125,2857.53173828125,2857.53271484375,2857.53271484375
36.68,2857.53173828125,2857.53173828125,2857.53271484375,2857.53271484375
36.72,2857.53173828125,2857.53173828125,2857.53271484375,2857.53271484375
36.72,2857.53173828125,2857.53173828125,2857.53271484375,2857.53271484375
36.72,2857.53173828125,2857.53173828125,2857.53271484375,2857.53271484375
36.76,3276.2431640625,3276.2431640625,3259.767333984375,3259.767333984375
36.76,3276.2431640625,3276.2431640625,3259.767333984375,3259.767333984375
36.78,3276.2431640625,3276.2431640625,3259.767333984375,3259.767333984375
36.78,3276.2431640625,3276.2431640625,3259.767333984375,3259.767333984375
36.78,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.78,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.82,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.82,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.82,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.82,3237.00048828125,3237.00048828125,3210.103515625,3210.103515625
36.86,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.86,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.86,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.86,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.9,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.9,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.9,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.9,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.9,3167.1962890625,3167.196533203125,3210.5693359375,3210.5693359375
36.94,3203.496826171875,3203.496826171875,3203.496826171875,3203.496826171875
36.94,3203.496826171875,3203.496826171875,3203.496826171875,3203.496826171875
36.96,3203.496826171875,3203.496826171875,3203.496826171875,3203.496826171875
36.96,3203.496826171875,3203.496826171875,3203.496826171875,3203.496826171875
36.96,3203.496826171875,3203.496826171875,3203.496826171875,3203.496826171875
36.96,3236.869140625,3236.87353515625,3212.172607421875,3212.172607421875
36.96,3236.869140625,3236.87353515625,3212.172607421875,3212.172607421875
