x,Yaw
36.5,4.8459158056299065e-08
36.5,4.8459158056299065e-08
36.54,6.347792505172035e-08
36.54,6.347792505172035e-08
36.54,1.1252447507460891e-07
36.54,1.1252447507460891e-07
36.58,1.3571430876023838e-07
36.58,1.3571430876023838e-07
36.58,1.5432785045571584e-07
36.58,1.5432785045571584e-07
36.619999999,2.092761261454415e-07
36.64,2.1873182132984147e-07
36.64,2.1873182132984147e-07
36.64,2.803607609123444e-07
36.64,2.803607609123444e-07
36.64,2.7359709879889217e-07
36.68,2.7359709879889217e-07
36.68,3.0219834837497723e-07
36.68,3.0219834837497723e-07
36.68,3.6164488388868106e-07
36.72,3.6164488388868106e-07
36.72,3.499042152146696e-07
36.72,3.499042152146696e-07
36.76,3.5317748458299464e-07
36.76,3.5317748458299464e-07
36.78,2.9396408092057404e-07
36.78,2.9396408092057404e-07
36.78,9.986513995520004e-08
36.78,9.986513995520004e-08
36.82,1.6294580242905899e-07
36.82,1.6294580242905899e-07
36.82,2.0962593051642602e-07
36.82,2.0962593051642602e-07
36.86,2.1692065988308828e-07
36.86,2.1692065988308828e-07
36.86,2.1622513200304098e-07
36.86,2.1622513200304098e-07
36.9,2.0438593578050236e-07
36.9,2.0438593578050236e-07
36.9,1.594757362546918e-07
36.9,1.594757362546918e-07
36.9,1.594757362546918e-07
36.94,1.4338529699256043e-07
36.94,1.4338529699256043e-07
36.96,6.847712789700476e-08
36.96,6.847712789700476e-08
36.96,6.098537424678492e-08
36.96,6.098537424678492e-08
36.96,6.098537424678492e-08
37.0,1.1339901888327617e-07
37.0,1.1339901888327617e-07
37.0,9.058979111714091e-08
37.0,9.058979111714091e-08
37.04,1.1726522758501731e-07
37.04,1.1726522758501731e-07
37.04,1.1726522758501731e-07
37.04,1.7190801057486283e-07
37.04,1.7190801057486283e-07
37.08,2.30114063501579e-07
37.08,2.30114063501579e-07
37.08,2.3472704639551533e-07
37.08,2.3472704639551533e-07
37.119999999,2.3399566125710527e-07
37.119999999,2.3399566125710527e-07
37.14,2.2942006747617135e-07
37.14,2.2942006747617135e-07
37.14,3.163809478533212e-07
37.14,3.163809478533212e-07
37.18,3.956279685998462e-07
37.18,3.956279685998462e-07
37.18,4.114039660323884e-07
37.18,4.114039660323884e-07
37.18,4.114039660323884e-07
37.22,3.353775914976509e-07
37.22,3.353775914976509e-07
37.22,1.283779781589511e-07
37.22,1.283779781589511e-07
37.26,1.0748371986566652e-07
37.26,1.0748371986566652e-07
37.28,1.931306473719411e-07
37.28,1.931306473719411e-07
37.28,1.4083227511920664e-07
37.28,1.4083227511920664e-07
37.32,2.500856431277423e-07
37.32,2.500856431277423e-07
37.32,2.677747229188538e-07
37.32,2.677747229188538e-07
37.32,2.677747229188538e-07
37.36,1.7858385344030705e-07
37.36,1.7858385344030705e-07
37.36,1.6994884712096558e-07
37.36,1.6994884712096558e-07
37.4,1.4919849603333483e-07
37.4,1.4919849603333483e-07
37.4,7.598600430187277e-08
37.4,7.598600430187277e-08
37.44,1.6753568948466204e-07
37.44,1.6753568948466204e-07
37.44,1.6753568948466204e-07
37.46,9.834166546574257e-08
